n	lnL	lambda	mu	psi	rho
18000	20.4447	3.57258	0.3741	2.62969	0.26283
18100	22.0343	4.83229	1.19168	1.20357	0.360601
18200	18.0005	3.22191	0.676678	1.68911	0.441438
18300	21.6546	3.98533	0.538399	2.22404	0.229245
18400	23.6037	4.66876	0.317139	2.36826	0.257057
18500	15.2702	2.37951	0.50699	2.39598	0.341126
18600	21.3908	4.06834	1.06559	1.62426	0.2555
18700	21.8402	4.19082	0.464062	3.02592	0.217504
18800	15.6177	2.86517	0.664353	1.23944	0.400989
18900	20.7509	3.69029	0.363865	2.13013	0.338818
19000	18.8561	3.40493	1.79623	1.66491	0.310157
19100	19.5756	3.331	0.620278	2.48868	0.361283
19200	22.6185	4.70071	0.640833	1.81439	0.144482
19300	20.4482	3.67096	0.530057	1.74294	0.285373
19400	22.4231	4.24507	0.860777	2.02779	0.263086
19500	17.1178	3.37167	0.869203	1.04225	0.350802
19600	17.2212	3.22465	0.212364	1.69547	0.498291
19700	19.737	3.66984	0.640604	1.42981	0.236342
19800	18.306	3.26677	0.308027	1.81583	0.43945
19900	20.4671	3.93432	0.734572	1.33223	0.275921
20000	20.9154	3.73332	0.372116	2.04544	0.249917
20100	18.8763	3.32796	1.7155	1.83154	0.352357
20200	22.78	4.74666	0.0775386	1.47772	0.149465
20300	15.6655	2.52154	0.527752	1.89436	0.337046
20400	18.4597	3.52541	0.783995	1.21722	0.351103
20500	21.6179	4.5708	1.11996	1.12664	0.254981
20600	21.9484	4.82796	0.210352	1.56849	0.422473
20700	20.5821	3.70235	1.27763	2.6207	0.251347
20800	18.7863	3.1959	0.427359	1.86601	0.337222
20900	20.6783	4.10165	0.536759	1.24648	0.207489
21000	20.5235	3.6308	0.326859	1.90032	0.288971
21100	24.1588	5.32293	1.16097	1.43852	0.30232
21200	21.6678	5.00921	0.676975	1.57954	0.485518
21300	16.0983	3.53424	1.06263	0.764431	0.299045
21400	19.5458	3.34582	1.0064	2.25497	0.297256
21500	20.4261	3.57002	0.550114	2.11794	0.304628
21600	16.7855	2.96393	0.328915	1.36286	0.249267
21700	21.3562	3.95142	0.13521	1.67546	0.248681
21800	17.7905	3.00642	1.39082	2.04884	0.410819
21900	20.9425	3.79398	0.248473	1.77485	0.251581
22000	17.3916	3.07195	0.330166	1.75792	0.18226
22100	18.3579	3.67648	2.43624	1.44584	0.511786
22200	13.5341	3.06503	0.830927	0.963816	0.130398
22300	15.1211	2.68988	1.2745	1.55346	0.236376
22400	18.5803	3.14123	1.54271	2.79544	0.427695
22500	17.264	3.01147	0.371109	2.19645	0.491676
22600	14.9856	3.02942	1.73937	1.2318	0.186667
22700	22.3309	4.23391	1.15851	2.16683	0.251469
22800	18.9577	3.46624	0.0228912	1.6577	0.16735
22900	19.2812	3.5683	0.109029	1.80186	0.42966
23000	15.8364	2.64044	0.781284	1.6884	0.298913
23100	19.0297	3.71106	0.0569459	1.73503	0.470071
23200	21.5281	4.11328	2.99912	2.80311	0.338303
23300	20.8507	3.86278	0.420448	2.65262	0.41557
23400	17.4197	2.9598	0.100392	1.573	0.324787
23500	17.3959	3.56979	0.48363	1.16859	0.464997
23600	21.6309	3.93665	0.170373	2.61103	0.266907
23700	19.2803	3.54834	0.304694	1.49161	0.197999
23800	18.4727	3.49384	2.05184	1.43675	0.399502
23900	22.1975	4.28748	1.16342	1.71745	0.286851
24000	23.2932	4.6581	1.20373	1.80124	0.261415
24100	16.8891	2.7523	0.715898	1.98439	0.317858
24200	18.4642	3.50423	0.00186183	1.62405	0.451648
24300	22.9797	4.80066	1.09949	1.41351	0.299757
24400	20.7352	3.77386	0.668114	1.98961	0.217531
24500	21.2992	4.4991	0.877159	1.62229	0.461466
24600	14.866	2.52259	0.2724	1.44565	0.354012
24700	18.3707	3.533	0.725267	1.67984	0.50458
24800	23.4864	5.41603	1.36042	2.34146	0.493425
24900	19.5323	3.34823	0.491715	2.21123	0.249365
